"행정구역별",2017,2018,2019,2020,2021,2022
"행정구역별",사설학원수<br>(A) (개),사설학원수<br>(A) (개),사설학원수<br>(A) (개),사설학원수<br>(A) (개),사설학원수<br>(A) (개),사설학원수<br>(A) (개)
"전국",80130,80412,80937,81762,81868,85841
"서울특별시",14189,14080,14044,13992,13809,14414
"종로구",297,274,259,243,217,248
"중구",128,119,118,109,91,108
"용산구",175,158,155,154,137,151
"성동구",295,314,293,289,290,294
"광진구",442,430,406,405,426,441
"동대문구",360,363,368,350,359,388
"중랑구",288,273,276,262,257,271
"성북구",457,464,450,439,451,469
"강북구",227,218,209,206,210,217
"도봉구",360,335,317,297,285,299
"노원구",775,747,740,718,684,726
"은평구",521,521,525,519,509,525
"서대문구",342,345,346,348,342,355
"마포구",616,644,683,689,692,699
"양천구",1052,1062,1037,1008,979,1038
"강서구",713,707,693,694,697,708
"구로구",431,427,406,394,386,397
"금천구",215,222,224,212,208,219
"영등포구",470,467,446,445,440,470
"동작구",472,458,465,471,487,470
"관악구",455,450,443,431,434,415
"서초구",1090,1130,1119,1148,1146,1193
"강남구",2246,2263,2279,2361,2383,2500
"송파구",1093,1051,1115,1076,1045,1110
"강동구",669,638,672,724,654,703
"부산광역시",4748,4666,4790,4938,5000,5164
"중구",66,58,57,87,56,50
"서구",108,108,110,113,117,115
"동구",81,70,73,69,68,64
"영도구",86,81,80,75,76,77
"부산진구",576,548,581,593,584,571
"동래구",510,519,536,554,578,602
"남구",326,325,340,350,353,357
"북구",408,396,394,407,404,411
"해운대구",656,637,660,673,691,736
"사하구",455,440,430,418,419,417
"금정구",390,395,391,394,394,392
"강서구",128,158,185,223,251,296
"연제구",280,283,292,300,302,310
"수영구",294,275,275,275,269,280
"사상구",191,181,171,175,177,178
"기장군",193,192,215,232,261,308
"대구광역시",3815,3901,3948,3941,3968,4146
"중구",295,308,312,279,282,286
"동구",372,384,397,398,408,434
"서구",166,159,145,139,136,132
"남구",130,127,126,123,110,106
"북구",617,598,625,619,638,665
"수성구",964,976,979,991,988,1049
"달서구",950,978,977,991,1000,1032
"달성군",321,371,387,401,406,442
"인천광역시",3585,3702,3747,3904,3897,4126
"중구",93,101,108,136,152,166
"동구",45,47,44,43,40,44
"남구",380,381,-,-,-,-
"연수구",566,617,648,688,720,781
"남동구",690,723,738,761,744,765
"부평구",676,662,650,649,649,664
"계양구",400,392,378,375,365,365
"서구",682,726,763,816,804,912
"미추홀구",-,-,367,382,371,383
"강화군",49,49,47,50,48,41
"옹진군",4,4,4,4,4,5
"광주광역시",3556,3402,3472,3439,3433,3524
"동구",307,262,284,285,289,304
"서구",808,771,752,716,704,718
"남구",543,554,573,599,616,632
"북구",954,863,923,910,911,930
"광산구",944,952,940,929,913,940
"대전광역시",2224,2223,2201,2198,2237,2294
"동구",225,214,211,216,219,236
"중구",347,348,343,334,337,329
"서구",867,885,871,868,890,915
"유성구",530,532,537,549,569,596
"대덕구",255,244,239,231,222,218
"울산광역시",2566,2586,2540,2503,2461,2584
"중구",448,459,453,452,444,443
"남구",1101,1091,1045,1009,960,1012
"동구",278,276,276,264,264,274
"북구",360,372,377,391,418,454
"울주군",379,388,389,387,375,401
"세종특별자치시",357,499,607,689,800,920
"경기도",20195,20781,21145,21716,21688,23222
"수원시",2057,2091,2052,2050,2031,2176
"성남시",1917,1954,1958,1950,1894,1941
"의정부시",708,715,718,738,712,743
"안양시",1094,1073,1056,1052,998,1035
"부천시",1257,1260,1251,1267,1256,1304
"광명시",557,565,547,547,527,559
"평택시",698,705,715,737,745,799
"동두천시",99,96,98,90,92,95
"안산시",1025,1005,973,959,922,928
"고양시",2000,2000,2000,2009,2003,2121
"과천시",75,76,79,76,83,88
"구리시",343,363,386,384,375,387
"남양주시",901,918,972,1059,1079,1192
"오산시",254,274,283,290,301,311
"시흥시",635,686,732,790,811,918
"군포시",445,444,436,436,424,439
"의왕시",182,178,175,176,183,194
"하남시",235,278,317,368,403,495
"용인시",1778,1875,1924,1968,1921,2073
"파주시",520,573,609,659,662,719
"이천시",365,379,380,395,390,381
"안성시",226,229,233,225,227,235
"김포시",619,684,762,827,884,1051
"화성시",1143,1265,1399,1537,1631,1818
"광주시",392,404,408,424,422,454
"양주시",232,245,257,266,278,323
"포천시",142,140,132,128,124,123
"여주시",113,120,111,123,120,122
"연천군",39,38,36,34,33,32
"가평군",64,60,55,52,53,57
"양평군",80,88,91,100,104,109
"강원특별자치도",2223,2200,2182,2179,2188,2264
"춘천시",453,444,421,430,440,447
"원주시",595,603,596,603,614,647
"강릉시",408,398,405,420,420,447
"동해시",138,144,145,138,139,143
"태백시",50,51,51,54,56,57
"속초시",128,116,126,117,114,119
"삼척시",74,68,68,67,64,72
"홍천군",81,81,79,73,74,74
"횡성군",46,46,45,42,40,43
"영월군",28,29,34,37,36,34
"평창군",37,36,34,34,30,27
"정선군",32,28,25,21,20,19
"철원군",52,50,52,47,51,51
"화천군",19,19,18,16,19,17
"양구군",18,21,23,20,18,18
"인제군",26,30,28,27,25,22
"고성군",16,16,13,13,11,12
"양양군",22,20,19,20,17,15
"충청북도",2298,2249,2230,2232,2268,2381
"충주시",294,291,292,298,297,304
"제천시",187,188,177,174,170,177
"청주시",1455,1413,1403,1400,1440,1521
"보은군",24,25,22,21,24,26
"옥천군",35,31,32,32,30,26
"영동군",42,44,46,43,46,45
"진천군",80,87,93,99,98,114
"괴산군",15,16,14,13,12,13
"음성군",99,88,84,85,82,85
"단양군",14,14,15,14,14,14
"증평군",53,52,52,53,55,56
"충청남도",2883,2961,2923,2939,2926,3072
"천안시",1188,1217,1245,1253,1264,1350
"공주시",133,132,124,121,113,112
"보령시",131,128,124,122,120,125
"아산시",398,403,404,413,407,438
"서산시",229,233,227,230,227,233
"논산시",130,127,122,119,122,118
"계룡시",55,54,56,51,53,56
"당진시",198,204,200,209,215,232
"금산군",36,35,35,37,36,36
"부여군",53,50,53,51,51,46
"서천군",56,54,51,49,45,44
"청양군",20,20,19,14,12,11
"홍성군",124,126,136,144,143,151
"예산군",82,77,75,75,70,70
"태안군",50,101,52,51,48,50
"전라북도",3971,3938,3865,3853,3875,3961
"전주시",2024,2006,1973,1986,2042,2098
"군산시",573,567,551,546,537,566
"익산시",663,645,628,611,594,587
"정읍시",193,193,181,177,177,180
"남원시",119,120,116,115,109,105
"김제시",92,93,93,96,93,88
"완주군",127,134,140,149,151,165
"진안군",10,10,10,10,10,9
"무주군",15,18,18,17,19,19
"장수군",13,14,13,12,12,13
"임실군",17,16,16,16,12,12
"순창군",19,18,20,19,20,21
"고창군",52,50,53,48,48,47
"부안군",54,54,53,51,51,51
"전라남도",2797,2691,2703,2687,2677,2752
"목포시",508,491,485,475,462,451
"여수시",568,551,523,502,500,508
"순천시",553,518,542,539,535,550
"나주시",163,132,161,164,169,195
"광양시",264,254,256,258,248,263
"담양군",14,14,13,13,16,20
"곡성군",26,23,25,21,20,20
"구례군",20,20,21,24,23,24
"고흥군",51,51,46,50,48,48
"보성군",33,28,27,26,23,22
"화순군",88,83,83,80,75,74
"장흥군",28,31,26,28,32,32
"강진군",32,27,28,26,27,27
"해남군",61,64,64,62,60,61
"영암군",56,49,45,48,46,47
"무안군",146,160,172,188,210,224
"함평군",19,16,16,15,16,15
"영광군",66,72,67,68,67,69
"장성군",36,38,38,36,35,34
"완도군",33,34,33,35,37,39
"진도군",26,27,24,22,21,22
"신안군",6,8,8,7,7,7
"경상북도",3677,3540,3542,3529,3551,3645
"포항시",796,762,764,754,761,788
"경주시",358,344,343,333,339,341
"김천시",136,131,125,122,127,138
"안동시",245,248,252,243,240,242
"구미시",877,829,822,825,832,857
"영주시",175,167,169,169,168,170
"영천시",104,94,85,90,83,84
"상주시",112,108,104,97,96,95
"문경시",83,82,85,83,83,84
"경산시",331,331,353,369,376,389
"군위군",8,8,6,6,6,7
"의성군",22,18,17,17,17,17
"청송군",11,13,13,14,13,11
"영양군",8,6,6,7,8,8
"영덕군",31,27,28,24,26,24
"청도군",32,29,27,28,26,26
"고령군",25,23,20,18,18,18
"성주군",30,26,26,25,25,28
"칠곡군",189,181,173,173,171,171
"예천군",33,47,60,67,69,83
"봉화군",13,13,12,12,12,12
"울진군",56,51,50,52,54,51
"울릉군",2,2,2,1,1,1
"경상남도",6052,5976,5972,5972,5995,6205
"진주시",862,872,866,867,876,888
"통영시",236,222,224,223,220,222
"사천시",204,204,206,203,200,201
"김해시",1155,1118,1141,1129,1126,1206
"밀양시",145,142,147,143,141,143
"거제시",461,449,437,430,429,445
"양산시",495,537,559,579,597,626
"창원시",1946,1941,1922,1943,1959,2023
"의령군",19,19,17,17,16,17
"함안군",82,79,78,77,72,71
"창녕군",57,56,50,49,50,51
"고성군",69,70,68,64,64,64
"남해군",86,44,45,41,43,40
"하동군",42,39,39,35,33,32
"산청군",24,21,23,22,19,20
"함양군",44,39,40,40,39,40
"거창군",84,85,78,79,83,86
"합천군",41,39,32,31,28,30
"제주특별자치도",994,1017,1026,1051,1095,1167
"제주시",829,847,853,860,890,930
"서귀포시",165,170,173,191,205,237
